invoice_id,branch,city,customer_type,gender,product_line,unit_price,quantity,VAT,total,order_date,order_time,payment_method,cogs,gross_margin_percentage,gross_income,rating,time_of_day,day_name,month_name
174-36-3675,C,Naypyitaw,Member,Male,"Food and beverages",99.37,2,9.9370,208.68,2019-02-14,17:29:00,Cash,198.74,4.761904716,9.94,5.2,Afternoon,Thursday,February
174-64-0215,B,Mandalay,Normal,Male,"Sports and travel",69.74,10,34.8700,732.27,2019-03-05,17:49:00,"Credit card",697.40,4.761904716,34.87,8.9,Afternoon,Tuesday,March
174-75-0888,B,Mandalay,Normal,Male,"Electronic accessories",21.58,9,9.7110,203.93,2019-03-14,12:32:00,Cash,194.22,4.761904716,9.71,7.3,Afternoon,Thursday,March
175-54-2529,A,Yangon,Member,Male,"Food and beverages",22.17,8,8.8680,186.23,2019-03-03,17:01:00,"Credit card",177.36,4.761904716,8.87,9.6,Afternoon,Sunday,March
176-64-7711,B,Mandalay,Normal,Male,"Food and beverages",32.32,3,4.8480,101.81,2019-03-27,19:11:00,"Credit card",96.96,4.761904716,4.85,4.3,Evening,Wednesday,March
176-78-1170,C,Naypyitaw,Member,Male,"Health and beauty",33.81,3,5.0715,106.50,2019-01-26,15:11:00,Ewallet,101.43,4.761904716,5.07,7.3,Afternoon,Saturday,January
181-82-6255,B,Mandalay,Normal,Female,"Home and lifestyle",16.37,6,4.9110,103.13,2019-02-08,10:58:00,Cash,98.22,4.761904716,4.91,7.0,Morning,Friday,February
181-94-6432,C,Naypyitaw,Member,Male,"Fashion accessories",69.33,2,6.9330,145.59,2019-02-05,19:05:00,Ewallet,138.66,4.761904716,6.93,9.7,Evening,Tuesday,February
182-52-7000,A,Yangon,Member,Female,"Sports and travel",27.04,4,5.4080,113.57,2019-01-01,20:26:00,Ewallet,108.16,4.761904716,5.41,6.9,Evening,Tuesday,January
182-69-8360,B,Mandalay,Normal,Female,"Electronic accessories",23.65,4,4.7300,99.33,2019-01-30,13:32:00,"Credit card",94.60,4.761904716,4.73,4.0,Afternoon,Wednesday,January
182-88-2763,B,Mandalay,Member,Male,"Food and beverages",79.91,3,11.9865,251.72,2019-03-20,19:28:00,"Credit card",239.73,4.761904716,11.99,5.0,Evening,Wednesday,March
183-21-3799,C,Naypyitaw,Normal,Female,"Electronic accessories",77.63,9,34.9335,733.60,2019-02-19,15:14:00,Ewallet,698.67,4.761904716,34.93,7.2,Afternoon,Tuesday,February
183-56-6882,C,Naypyitaw,Member,Female,"Food and beverages",99.42,4,19.8840,417.56,2019-02-06,10:42:00,Ewallet,397.68,4.761904716,19.88,7.5,Morning,Wednesday,February
186-09-3669,C,Naypyitaw,Member,Female,"Health and beauty",81.51,1,4.0755,85.59,2019-01-22,10:57:00,Ewallet,81.51,4.761904716,4.08,9.2,Morning,Tuesday,January
186-43-8965,A,Yangon,Member,Female,"Home and lifestyle",47.68,2,4.7680,100.13,2019-02-24,10:10:00,"Credit card",95.36,4.761904716,4.77,4.1,Morning,Sunday,February
186-71-5196,A,Yangon,Member,Female,"Food and beverages",79.54,2,7.9540,167.03,2019-03-27,16:30:00,Ewallet,159.08,4.761904716,7.95,6.2,Afternoon,Wednesday,March
186-79-9562,B,Mandalay,Normal,Male,"Health and beauty",71.77,7,25.1195,527.51,2019-03-29,14:06:00,Cash,502.39,4.761904716,25.12,8.9,Afternoon,Friday,March
187-83-5490,A,Yangon,Member,Male,"Electronic accessories",20.77,4,4.1540,87.23,2019-01-31,13:47:00,Cash,83.08,4.761904716,4.15,4.7,Afternoon,Thursday,January
188-55-0967,B,Mandalay,Member,Male,"Health and beauty",66.47,10,33.2350,697.94,2019-01-15,15:01:00,"Credit card",664.70,4.761904716,33.24,5.0,Afternoon,Tuesday,January
189-08-9157,C,Naypyitaw,Normal,Female,"Fashion accessories",31.73,9,14.2785,299.85,2019-01-08,16:17:00,"Credit card",285.57,4.761904716,14.28,5.9,Afternoon,Tuesday,January
189-17-4241,A,Yangon,Normal,Female,"Fashion accessories",87.67,2,8.7670,184.11,2019-03-10,12:17:00,"Credit card",175.34,4.761904716,8.77,7.7,Afternoon,Sunday,March
189-40-5216,C,Naypyitaw,Normal,Male,"Electronic accessories",96.37,7,33.7295,708.32,2019-01-09,11:40:00,Cash,674.59,4.761904716,33.73,6.0,Morning,Wednesday,January
189-52-0236,A,Yangon,Normal,Male,"Electronic accessories",99.55,7,34.8425,731.69,2019-03-14,12:07:00,Cash,696.85,4.761904716,34.84,7.6,Afternoon,Thursday,March
189-55-2313,C,Naypyitaw,Normal,Female,"Fashion accessories",62.18,10,31.0900,652.89,2019-01-31,10:33:00,Ewallet,621.80,4.761904716,31.09,6.0,Morning,Thursday,January
189-98-2939,C,Naypyitaw,Normal,Male,"Fashion accessories",78.55,9,35.3475,742.30,2019-03-01,13:22:00,Cash,706.95,4.761904716,35.35,7.2,Afternoon,Friday,March
190-14-3147,B,Mandalay,Normal,Female,"Health and beauty",17.97,4,3.5940,75.47,2019-02-23,20:43:00,Ewallet,71.88,4.761904716,3.59,6.4,Evening,Saturday,February
190-59-3964,B,Mandalay,Member,Male,"Food and beverages",47.16,5,11.7900,247.59,2019-02-03,14:35:00,"Credit card",235.80,4.761904716,11.79,6.0,Afternoon,Sunday,February
191-10-6171,B,Mandalay,Normal,Female,"Fashion accessories",39.62,7,13.8670,291.21,2019-01-25,13:18:00,Cash,277.34,4.761904716,13.87,7.5,Afternoon,Friday,January
191-29-0321,B,Mandalay,Member,Female,"Fashion accessories",19.77,10,9.8850,207.59,2019-02-27,18:57:00,"Credit card",197.70,4.761904716,9.89,5.0,Evening,Wednesday,February
192-98-7397,C,Naypyitaw,Normal,Male,"Fashion accessories",12.78,1,0.6390,13.42,2019-01-08,14:11:00,Ewallet,12.78,4.761904716,0.64,9.5,Afternoon,Tuesday,January
195-06-0432,A,Yangon,Member,Male,"Home and lifestyle",81.01,3,12.1515,255.18,2019-01-13,12:55:00,"Credit card",243.03,4.761904716,12.15,9.3,Afternoon,Sunday,January
196-01-2849,C,Naypyitaw,Member,Female,"Fashion accessories",73.38,7,25.6830,539.34,2019-02-10,13:56:00,Cash,513.66,4.761904716,25.68,9.5,Afternoon,Sunday,February
197-77-7132,B,Mandalay,Member,Male,"Electronic accessories",91.56,8,36.6240,769.10,2019-01-12,18:22:00,Ewallet,732.48,4.761904716,36.62,6.0,Evening,Saturday,January
198-66-9832,B,Mandalay,Member,Female,"Fashion accessories",72.04,2,7.2040,151.28,2019-02-04,19:38:00,Cash,144.08,4.761904716,7.20,9.5,Evening,Monday,February
198-84-7132,B,Mandalay,Member,Male,"Fashion accessories",40.61,9,18.2745,383.76,2019-01-02,13:40:00,Cash,365.49,4.761904716,18.27,7.0,Afternoon,Wednesday,January
199-75-8169,A,Yangon,Member,Male,"Sports and travel",15.81,10,7.9050,166.01,2019-03-06,12:27:00,"Credit card",158.10,4.761904716,7.91,8.6,Afternoon,Wednesday,March
200-16-5952,C,Naypyitaw,Member,Male,"Food and beverages",65.65,2,6.5650,137.87,2019-01-17,16:46:00,Cash,131.30,4.761904716,6.57,6.0,Afternoon,Thursday,January
200-40-6154,B,Mandalay,Member,Male,"Home and lifestyle",65.91,6,19.7730,415.23,2019-02-09,11:45:00,Cash,395.46,4.761904716,19.77,5.7,Morning,Saturday,February
201-63-8275,C,Naypyitaw,Member,Female,"Sports and travel",67.99,7,23.7965,499.73,2019-02-17,16:50:00,Ewallet,475.93,4.761904716,23.80,5.7,Afternoon,Sunday,February
201-86-2184,B,Mandalay,Member,Female,"Electronic accessories",26.26,7,9.1910,193.01,2019-02-02,19:40:00,Cash,183.82,4.761904716,9.19,9.9,Evening,Saturday,February
207-73-1363,B,Mandalay,Normal,Male,"Health and beauty",69.51,2,6.9510,145.97,2019-03-01,12:15:00,Ewallet,139.02,4.761904716,6.95,8.1,Afternoon,Friday,March
209-61-0206,A,Yangon,Normal,Female,"Home and lifestyle",42.91,5,10.7275,225.28,2019-01-05,17:29:00,Ewallet,214.55,4.761904716,10.73,6.1,Afternoon,Saturday,January
210-30-7976,B,Mandalay,Member,Female,"Fashion accessories",22.32,4,4.4640,93.74,2019-03-14,11:16:00,Ewallet,89.28,4.761904716,4.46,4.1,Morning,Thursday,March
210-57-1719,B,Mandalay,Normal,Female,"Health and beauty",58.24,9,26.2080,550.37,2019-02-05,12:34:00,Cash,524.16,4.761904716,26.21,9.7,Afternoon,Tuesday,February
210-67-5886,C,Naypyitaw,Member,Female,"Health and beauty",98.21,3,14.7315,309.36,2019-02-05,10:41:00,"Credit card",294.63,4.761904716,14.73,7.8,Morning,Tuesday,February
210-74-9613,C,Naypyitaw,Normal,Male,"Fashion accessories",97.26,4,19.4520,408.49,2019-03-16,15:33:00,Ewallet,389.04,4.761904716,19.45,6.8,Afternoon,Saturday,March
211-05-0490,C,Naypyitaw,Member,Female,"Electronic accessories",51.92,5,12.9800,272.58,2019-03-03,13:42:00,Cash,259.60,4.761904716,12.98,7.5,Afternoon,Sunday,March
211-30-9270,C,Naypyitaw,Normal,Male,"Health and beauty",17.41,5,4.3525,91.40,2019-01-28,15:16:00,"Credit card",87.05,4.761904716,4.35,4.9,Afternoon,Monday,January
212-62-1842,A,Yangon,Normal,Male,"Food and beverages",58.26,6,17.4780,367.04,2019-03-28,16:44:00,Cash,349.56,4.761904716,17.48,9.9,Afternoon,Thursday,March
213-32-1216,A,Yangon,Normal,Female,"Electronic accessories",66.06,6,19.8180,416.18,2019-01-23,10:28:00,Cash,396.36,4.761904716,19.82,7.3,Morning,Wednesday,January
213-72-6612,A,Yangon,Normal,Male,"Food and beverages",43.25,2,4.3250,90.83,2019-03-20,15:56:00,Cash,86.50,4.761904716,4.33,6.2,Afternoon,Wednesday,March
214-17-6927,C,Naypyitaw,Normal,Female,"Food and beverages",16.48,6,4.9440,103.82,2019-02-07,18:23:00,Ewallet,98.88,4.761904716,4.94,9.9,Evening,Thursday,February
214-30-2776,B,Mandalay,Member,Female,"Electronic accessories",34.49,5,8.6225,181.07,2019-03-11,19:44:00,"Credit card",172.45,4.761904716,8.62,9.0,Evening,Monday,March
217-58-1179,A,Yangon,Member,Male,"Home and lifestyle",62.65,4,12.5300,263.13,2019-01-05,11:25:00,Cash,250.60,4.761904716,12.53,4.2,Morning,Saturday,January
218-59-9410,A,Yangon,Member,Female,"Home and lifestyle",72.42,3,10.8630,228.12,2019-03-29,16:54:00,Ewallet,217.26,4.761904716,10.86,8.2,Afternoon,Friday,March
219-22-9386,B,Mandalay,Member,Male,"Sports and travel",99.96,9,44.9820,944.62,2019-03-09,17:26:00,"Credit card",899.64,4.761904716,44.98,4.2,Afternoon,Saturday,March
219-61-4139,C,Naypyitaw,Normal,Male,"Electronic accessories",83.08,1,4.1540,87.23,2019-01-23,17:16:00,Ewallet,83.08,4.761904716,4.15,6.4,Afternoon,Wednesday,January
220-28-1851,A,Yangon,Normal,Male,"Home and lifestyle",34.73,2,3.4730,72.93,2019-03-01,18:14:00,Ewallet,69.46,4.761904716,3.47,9.7,Evening,Friday,March
220-68-6701,A,Yangon,Normal,Female,"Home and lifestyle",77.47,4,15.4940,325.37,2019-03-17,16:36:00,Cash,309.88,4.761904716,15.49,4.2,Afternoon,Sunday,March
221-25-5073,A,Yangon,Normal,Female,"Food and beverages",74.66,4,14.9320,313.57,2019-03-04,10:39:00,Cash,298.64,4.761904716,14.93,8.5,Morning,Monday,March
222-42-0244,B,Mandalay,Member,Female,"Health and beauty",72.11,9,32.4495,681.44,2019-01-28,13:53:00,"Credit card",648.99,4.761904716,32.45,7.7,Afternoon,Monday,January
225-32-0908,C,Naypyitaw,Normal,Female,"Sports and travel",44.86,10,22.4300,471.03,2019-01-26,19:54:00,Ewallet,448.60,4.761904716,22.43,8.2,Evening,Saturday,January
225-98-1496,C,Naypyitaw,Normal,Female,"Fashion accessories",27.02,3,4.0530,85.11,2019-03-02,13:01:00,"Credit card",81.06,4.761904716,4.05,7.1,Afternoon,Saturday,March
226-31-3081,C,Naypyitaw,Normal,Female,"Electronic accessories",15.28,5,3.8200,80.22,2019-03-08,10:29:00,Cash,76.40,4.761904716,3.82,9.6,Morning,Friday,March
226-34-0034,B,Mandalay,Normal,Female,"Electronic accessories",13.78,4,2.7560,57.88,2019-01-10,11:10:00,Ewallet,55.12,4.761904716,2.76,9.0,Morning,Thursday,January
226-71-3580,C,Naypyitaw,Normal,Female,"Sports and travel",23.75,9,10.6875,224.44,2019-01-31,12:02:00,Cash,213.75,4.761904716,10.69,9.5,Afternoon,Thursday,January
227-03-5010,A,Yangon,Member,Female,"Home and lifestyle",52.59,8,21.0360,441.76,2019-03-22,19:20:00,"Credit card",420.72,4.761904716,21.04,8.5,Evening,Friday,March
227-07-4446,C,Naypyitaw,Member,Female,"Electronic accessories",78.13,10,39.0650,820.37,2019-02-10,20:51:00,Cash,781.30,4.761904716,39.07,4.4,Evening,Sunday,February
